"filename", "language", "XML", "JSON", "C#", "UnityShader", "Markdown", "HTML", "comment", "blank", "total"
"e:\GitHub\Project-Cronus\Cronus\Assembly-CSharp-firstpass.csproj", "XML", 1356, 0, 0, 0, 0, 0, 1, 1, 1358
"e:\GitHub\Project-Cronus\Cronus\Assembly-CSharp.csproj", "XML", 1424, 0, 0, 0, 0, 0, 1, 1, 1426
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\AstarPathfindingProject.asmdef", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 8
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Behaviors\AIDestinationSetter.cs", "C#", 0, 0, 20, 0, 0, 0, 15, 5, 40
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Behaviors\Patrol.cs", "C#", 0, 0, 32, 0, 0, 0, 16, 12, 60
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 1894, 0, 0, 105, 1999
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\AI\AIBase.cs", "C#", 0, 0, 357, 0, 0, 0, 314, 104, 775
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\AI\AILerp.cs", "C#", 0, 0, 351, 0, 0, 0, 243, 108, 702
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\AI\AIPath.cs", "C#", 0, 0, 214, 0, 0, 0, 201, 77, 492
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\AI\IAstarAI.cs", "C#", 0, 0, 31, 0, 0, 0, 336, 26, 393
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\AI\NavmeshController.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 2, 5
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\AI\Seeker.cs", "C#", 0, 0, 190, 0, 0, 0, 252, 66, 508
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\AI\TurnBasedAI.cs", "C#", 0, 0, 19, 0, 0, 0, 3, 4, 26
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\AstarData.cs", "C#", 0, 0, 407, 0, 0, 0, 220, 107, 734
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\AstarMath.cs", "C#", 0, 0, 799, 0, 0, 0, 484, 248, 1531
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\AstarPath.cs", "C#", 0, 0, 845, 0, 0, 0, 1018, 301, 2164
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\GraphUpdateScene.cs", "C#", 0, 0, 209, 0, 0, 0, 132, 58, 399
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\GraphUpdateShape.cs", "C#", 0, 0, 96, 0, 0, 0, 32, 16, 144
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\AnimationLink.cs", "C#", 0, 0, 98, 0, 0, 0, 1, 24, 123
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\ArrayPool.cs", "C#", 0, 0, 112, 0, 0, 0, 68, 19, 199
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\AstarDebugger.cs", "C#", 0, 0, 226, 0, 0, 0, 35, 77, 338
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\AutoRepathPolicy.cs", "C#", 0, 0, 45, 0, 0, 0, 41, 15, 101
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\BinaryHeap.cs", "C#", 0, 0, 191, 0, 0, 0, 82, 52, 325
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\Draw.cs", "C#", 0, 0, 71, 0, 0, 0, 1, 20, 92
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\EditorResourceHelper.cs", "C#", 0, 0, 80, 0, 0, 0, 10, 16, 106
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\GraphEditorBase.cs", "C#", 0, 0, 7, 0, 0, 0, 2, 2, 11
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\GraphModifier.cs", "C#", 0, 0, 119, 0, 0, 0, 57, 29, 205
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\GraphUpdateProcessor.cs", "C#", 0, 0, 242, 0, 0, 0, 65, 63, 370
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\GraphUtilities.cs", "C#", 0, 0, 145, 0, 0, 0, 100, 26, 271
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\HierarchicalGraph.cs", "C#", 0, 0, 222, 0, 0, 0, 77, 48, 347
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\Int3.cs", "C#", 0, 0, 220, 0, 0, 0, 32, 63, 315
